Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Afghanistan","AFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319.847107262897","332.22000973489","322.668009493498","345.925813841934","353.72059702447","392.71046559534","398.971116543866","472.842291632566","526.103675610541","511.998514848414","557.94969211234","568.964543504121","565.179273313985","556.007220861443"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Albania","ALB","","","","","","","","","","","1740.50538251578","1804.01030686473","1818.36734378011","1799.87814512623","1740.34722581973","1735.28985774577","1798.01460878981","1748.57826221694","1691.53050589089","1808.64560435629","1606.29604695504","1163.49129357696","1086.43848679251","1197.58059384726","1305.00071871372","1488.02049137342","1633.55157217752","1464.29757891526","1603.64723026087","1821.87265387433","1960.88194605323","2143.52627804401","2247.49749138029","2380.64399716233","2522.44871366768","2675.50793605792","2851.36701213888","3044.8958191892","3298.47804431218","3432.16997290283","3577.11338787611","3678.04673789692","3736.33910076819","3780.69820209921","3855.7597340804","3952.80253807527"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Algeria","DZA","2368.57465930137","2042.66336361595","2532.39277921451","2558.03015865966","2674.97043559587","2732.32436410563","2878.61000110926","2944.32111157251","3123.37657581009","3258.73121455504","3186.43716447071","3182.25985324969","3281.8608560254","3352.69971381682","3432.80639946519","3453.82159686622","3366.93888661066","3248.88117438815","3128.33753295733","3179.77332064868","3123.9976643283","3011.49993329454","2994.4913203765","2867.19589448977","2783.1550397609","2834.26519284736","2899.19320163403","2884.12022797144","2986.05566558979","3038.27291538375","3111.17616898665","3162.81150705023","3297.61281111413","3490.22324715182","3592.64530104949","3752.09616063674","3760.155368403","3828.14847629173","3856.4076594991","3851.21377722335","3918.48641959061","3956.89581506545","4012.36150559795","4042.92363832773","4112.07602394229","4177.8895415169"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","American Samoa","ASM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12609.3685211188","12641.6678802311","12653.2818390598","12628.5076571075","12202.7373674641","12586.7160375183","12439.1497226866","12092.2765062614","12256.3428575784","12328.6652824756","11812.4591111668","11507.2256511128","11694.5453868794","12059.6351646776"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Andorra","AND","35391.0735982667","35159.4665794894","36166.4134416215","37123.2623281237","37504.7416968765","36246.6832767774","36175.3210521176","36081.6576564343","35551.7356067683","34462.4927619131","34014.4883728057","32669.4617417565","31709.2961035339","30896.9514847486","30084.5669133678","29480.3464493791","29178.5428478503","29564.8210377907","29854.800230417","30091.2493035748","30051.1777375729","29642.7114556457","28792.1981329368","27517.5487946599","27408.2800944199","27641.8864156175","28701.0947085249","31325.5173835279","32416.0142298075","33625.2437739494","34267.582236696","35974.8796537156","36158.5864331717","37620.2055439015","39042.9587661129","39782.9287639918","40602.5375828159","40391.8714598755","37610.5609459506","35362.6965506067","34667.1713089389","34956.5962291033","33750.0569181309","33220.5619485322","34721.891965559","35770.7767044085"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Angola","AGO","","","","","","","","","","","3550.08297047352","3276.36170940381","3162.00412914841","3179.34823621788","3252.10786852736","3248.60811580696","3226.8171793178","3242.57910163663","3323.53429244914","3212.66272008254","2998.78075137846","2929.48288668575","2669.43470645828","1964.38971533127","1927.50048977793","2146.45565318357","2360.08780362789","2451.60865967943","2485.06684218924","2458.09645024045","2451.50982599127","2471.66462723733","2717.44096999519","2705.70613893833","2900.16696257258","3220.07808518711","3464.23466882131","3806.84917814926","4077.77684411643","3963.24842013776","3988.62364625167","3979.8150506227","4167.12579657488","4220.96480538831","4272.45553706668","4166.97983330278"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Antigua and Barbuda","ATG","","","","","","","","5570.43204584114","5826.24117520437","6306.13508479843","6830.39857269133","7099.23534998144","7094.30445670917","7474.9650954871","8234.12855007634","8863.38488338236","9887.08789350276","10549.2467099634","11091.1202861537","11626.7787683297","11876.1994030616","11975.7403143642","11908.4931735434","12286.0333441018","12828.6104410898","12006.518606977","12525.1679394273","12928.4417653462","13260.4942874684","13484.1864626965","14069.5148408067","13220.0448316627","13170.6260108089","13792.5009167708","14399.8207214034","15122.1856098317","16785.7470478675","18062.4656633866","17771.193163252","15401.9686409802","13986.8408888484","13525.4449097176","13802.7074917283","13554.4013958157","13908.9916265529","14285.3297773091"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Argentina","ARG","9243.25657918774","9613.67688120479","9614.23793064163","9725.4670447684","10100.0684786638","9939.69662339375","9591.17200106077","10103.6273664386","9505.85621013129","10321.2391039196","10318.1829852084","9630.11517782086","9407.87464068984","9660.19212967857","9655.18364929907","9009.00172884746","9412.99481333182","9517.10860962445","9269.35579048858","8477.67290299912","8149.24061868556","8769.75039972016","9338.69951701644","9974.00441871003","10423.3788791662","10003.0916892982","10430.6824927136","11146.7210336555","11445.5649384682","10935.6445948055","10730.6082172968","10146.1068184859","8943.30800223846","9629.84408600561","10389.1512740641","11192.1795786128","11970.6553871118","12919.2353647124","13310.6236843092","12398.2835807357","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Armenia","ARM","","","","","","","","","","","","","","","","","","","","","1650.51059802551","1471.08617337371","871.697167208067","813.829811325128","878.530222992876","958.506238251081","1030.46392228014","1076.62503878963","1164.28221872868","1210.36239501591","1289.88425211857","1422.47665422275","1619.11218921002","1855.59682694565","2062.20323329876","2364.175934724","2697.01898320572","3093.36933999173","3335.24416355048","2884.33947038119","2958.83899907802","3098.74230423071","3312.9800082494","3406.53611767826","3511.2250593094","3607.28929855361"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Aruba","ABW","","","","","","","","","","","","","","","","","17231.3797601625","20262.9448852322","24343.255181828","27313.495358357","27884.2531535502","28953.5247120064","29031.7437541823","29324.7920581327","29989.0181359428","29367.3096702448","28684.5649799691","29901.3592937614","29857.5596644533","29640.0452340025","31245.7240422944","29656.1040089547","28051.1192240863","28008.5035479577","29695.4929573171","29670.2876863246","29743.529628082","30160.5278390752","30092.7393652705","26903.1713501175","25857.4933834715","26647.6435400725","26150.636939894","27090.026166222","27011.3203157436","28396.9084228616"
